what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393791911534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393791985025
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1393791985032
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393791988106
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393792000648
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393792000681
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393792038328
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393792038920
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393792040296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393792041014
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1393792041027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393792062678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393792158265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1393792158278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393792165616
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393792285170
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393792286022
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393792294957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393792296131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1393792296144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393792298975
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393792535237
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393792536028
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393792542508
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393792556708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393792698815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393792741960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393792767953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393792774882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393792777585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393792940758
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1393792942920
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393792943403
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1393792943414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393793002295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393793013280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393793020752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393793034024
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1393793035919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393793059849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393793177317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393793226528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393793229198
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1393793237187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393793294891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393793307810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1393793319235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393793346514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393793424076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393793441340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393793455313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393793522183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393793535524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393793731539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393793742665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393793762356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393793788926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393793840065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1393793861690
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.format",1393793863587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1393793865625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1393793872339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1393793875282
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.format",1393793876329
